Symbol,Previous,Estimate,Reported,Next,Guidance,06-11,06-10,06-09,06-06,06-05,06-04,06-03,06-02,06-01_x,06-01_y,05-31,05-25
AMD,2025-05-06,0.94,0.96,2025-07-28,,0.56,0.57,0.58,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58
SMCI,2025-05-06,0.5,0.31,2025-08-04,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
HIMS,2025-05-05,0.12,0.2,2025-08-04,,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
APP,2025-05-07,1.45,2.22,2025-08-05,,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38
CELH,2025-05-06,0.19,0.18,2025-08-04,,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.27
UBER,2025-05-07,0.5,0.83,2025-08-04,,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
TTD,2025-05-08,0.25,0.33,2025-08-05,,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
CVNA,2025-05-07,0.64,1.51,2025-07-29,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
COIN,2025-05-08,1.99,0.24,2025-07-30,,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
F,2025-05-05,0.02,0.14,2025-07-22,,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
DIS,2025-05-07,1.2,1.45,2025-08-05,,1.43,1.43,1.43,1.44,1.44,1.44,1.43,1.43,1.43,1.43,1.43,1.44
MARA,2025-05-08,0.03,-1.21,2025-07-30,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,0.11
PTON,2025-05-08,-0.06,-0.12,2025-08-20,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.07
MELI,2025-05-07,8.3,9.74,2025-07-30,,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.34,12.34,12.34,12.34,12.34
NET,2025-05-08,0.17,0.16,2025-07-30,,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
RIVN,2025-05-06,-0.76,-0.41,2025-08-04,,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78
TGTX,2025-05-05,0.18,0.03,2025-08-04,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
TEM,2025-05-06,-0.27,-0.24,2025-08-04,,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24
SOUN,2025-05-08,-0.08,0.31,2025-08-06,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
NVO,2025-05-07,6.11,6.53,2025-08-06,,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92
ANET,2025-05-06,0.59,0.65,2025-07-28,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
DDOG,2025-05-06,0.43,0.46,2025-08-06,,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
ET,2025-05-06,0.36,0.36,2025-08-05,,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
UPST,2025-05-06,0.17,0.3,2025-08-04,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
CLF,2025-05-07,-0.77,-1.0,2025-07-21,,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.63,-0.63,-0.63,-0.63,-0.63
ALAB,2025-05-06,0.28,0.33,2025-08-05,,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
SHOP,2025-05-08,0.26,0.25,2025-08-05,,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
AXON,2025-05-07,1.27,1.41,2025-08-04,,1.46,1.46,1.46,1.46,1.46,1.43,1.43,1.43,1.43,1.43,1.43,1.43
DKNG,2025-05-08,-0.09,-0.07,2025-07-30,,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
DASH,2025-05-06,0.39,0.44,2025-07-30,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
WYNN,2025-05-06,1.19,1.07,2025-08-04,,1.25,1.3,1.3,1.3,1.3,1.3,1.31,1.31,1.3,1.3,1.3,1.3
